Client_ID,Annual_Revenue,Project_Count,Support_Tickets,Contract_Duration_Months,Payment_Delay_Days
1,520000,8,5,24,2
2,110000,3,14,12,9
3,305000,5,8,18,4
4,85000,2,19,6,15
5,670000,10,4,30,1
6,155000,4,12,14,7
7,92000,2,18,8,13
8,410000,6,6,20,3
9,73000,1,22,5,17
10,560000,9,3,28,2
11,480000,7,5,22,3
12,125000,3,15,11,10
13,290000,5,9,17,6
14,95000,2,20,7,14
15,700000,11,4,32,1
16,160000,4,11,15,8
17,88000,2,17,9,12
18,430000,6,7,21,3
19,78000,1,23,4,18
20,590000,9,3,29,2
21,510000,8,6,23,3
22,135000,3,13,13,9
23,310000,5,7,19,5
24,82000,2,21,6,16
25,660000,10,4,31,1
26,170000,4,12,16,7
27,94000,2,18,8,12
28,420000,6,6,20,4
29,76000,1,24,5,19
30,575000,9,3,27,2
31,495000,7,5,24,3
32,140000,3,14,12,10
33,300000,5,8,18,6
34,87000,2,19,7,15
35,690000,10,4,30,1
36,165000,4,11,14,8
37,91000,2,17,9,13
38,440000,6,6,21,3
39,75000,1,22,4,17
40,580000,9,3,28,2
41,505000,8,5,23,3
42,145000,3,13,13,9
43,315000,5,7,19,5
44,83000,2,20,6,16
45,675000,10,4,31,1
46,175000,4,12,15,7
47,96000,2,18,8,14
48,435000,6,6,20,3
49,77000,1,23,5,18
50,600000,9,3,29,2
51,520000,8,5,24,2
52,115000,3,14,12,10
53,295000,5,8,18,6
54,89000,2,19,7,15
55,705000,11,4,32,1
56,158000,4,11,14,8
57,93000,2,17,9,12
58,450000,6,6,21,3
59,74000,1,24,5,19
60,610000,9,3,30,2
